source_order	source_key	source_hash	target_text
0	ZONE.WF	e978f7b76f9b81a4	스러진 자들의 황야
1	ZONE.HR	bbc869ef73c8c711	영웅의 안식처
2	ZONE.TK	de9ece2491fada99	왕들의 신전
3	ZONE.LT	58e477e0ab10ddaf	빛의 탑
4	ZONE.MA	717caf9e59cbb529	영묘
5	ZONE.TF	4f7926f69e803322	대장간
6	ZONE.AC	0eb08db63aa5f21e	승천의 동굴
7	ZONE.CL	e4c717dc6e50b392	빛의 요람
8	ZONE.IS	9986ba22866e0aaf	무한의 바다
9	ZONE.UF	600e6671c98e713b	해저 요새
10	ZONE.EW	7b5a6c44018f15c7	세상의 끝
11	ZONE.AB	25fbdb5d392060b7	심연
12	ZONE.CO	168ae35c7276ff55	코스모스
13	ZONE.RS	751b6a198f686750	왕의 계단
14	ZONE.AP	9a33805e617de323	아이테르나 궁전
15	ZONE.PD	377e3468f2bb5995	저주받은 자들의 구덩이
16	ZONE.TO	ce45286efd8a55c0	신탁의 신전
17	WF.SpiderSmall.Name	d7cb4d0eec30b677	잠복 거미 새끼
18	WF.Spider.Name	573831225ae4ab56	잠복 거미
19	WF.Bat.Name	871623ca32355349	흡혈귀
20	WF.ShadowSlimeSmall.Name	b133e5d8b1eb0eeb	일반 슬라임
21	WF.ShadowSlime.Name	20b3b24e37900512	거대 일반 슬라임
22	WF.GhostSamurai.Name	421b0d8aac1c1108	부시도의 정령
23	WF.GhostMace.Name	cca5132e1921fcd3	징벌의 망령
24	WF.GhostSword.Name	db2954180ffab00c	유령 검객
25	WF.GhostAxe.Name	bfc11a33b409e65d	저주받은 사형집행인
26	WF.Devourer.Name	4bd40ce43063618f	포식자
27	WF.GhostGiant.Name	dc0710074ff116e9	방황하는 영혼
28	WF.GhostSlime.Name	1a529593e7a8c9c6	유령 슬라임
29	HR.SkullWarrior.Name	c45d55362305c741	언데드 전사
30	HR.SkullArcher.Name	e7fdbaa861f567fc	언데드 궁수
31	HR.GiantSkeleton.Name	60316b827e26ee43	뼈 거인
32	HR.LichSkeleton.Name	13c77d3dce3c9f1e	리치
33	HR.Slime.Name	70ec6f783e611adc	좀비 슬라임
34	HR.AcidSlime.Name	200688b928e92b84	거대 산성 슬라임
35	HR.SmallAcidSlime.Name	cf7bdc2df0ead6e8	산성 슬라임
36	HR.FlyingQueen.Name	1520b898f77a9473	여왕벌
37	HR.FlyingShooter.Name	ed4ca8f700c0b3dc	근위병 벌
38	HR.FlyingQueenEgg.Name	40b76c93887208bc	아기 벌
39	HR.Garibaldi.Name	016288763b45ad97	가리발디
40	MA.Emperor.Name	a904655c6170fc6a	황제
41	LT.Bishop.Name	b6ebd8c9fc317ff6	신성한 비숍
42	LT.Queen.Name	47c91edd76be3269	신성한 퀸
43	LT.Tower.Name	80bf513f3bb38c1b	신성한 룩
44	LT.Sword.Name	48aa40bf22684801	여왕의 수호자
45	LT.Slime.Name	17ea533f9dd8294b	거대 빛의 슬라임
